qseqid,sseqid,pident,qcovs,evalue,bitscore
root_000008;70,CAGL0F09141g,97.143,100,3.6399999999999996e-45,137.0
root_000011;130,CAGL0G00836g,97.692,100,6.91e-94,264.0
root_000023;105,CAGL0D06534g,99.048,100,4.1500000000000004e-72,207.0
root_000031;677,CAGL0H07645g,99.261,100,0.0,1364.0
root_000036;867,CAGL0G05544g,99.752,93,0.0,1642.0
root_000039;214,CAGL0K07502g,96.729,100,7.53e-146,402.0
root_000052;298,CAGL0K04279g,100.0,62,1.53e-133,374.0
root_000074;421,CAGL0I10010g,99.417,81,0.0,707.0
root_000077;356,CAGL0D02420g,98.919,52,1.71e-130,369.0
root_000106;761,CAGL0J01958g,98.859,92,0.0,1360.0
root_000111;1354,CAGL0I08437g,98.347,98,0.0,2681.0
root_000135;136,CAGL0G09625g,98.529,100,6.21e-97,273.0
root_000175;187,CAGL0F07447g,99.187,66,1.52e-85,246.0
root_000179;6968,CAGL0I10246g,99.78,85,0.0,1867.0
root_000179;6968,CAGL0I10246g,99.78,85,0.0,1867.0
root_000179;6968,CAGL0I10246g,99.78,85,0.0,1867.0
root_000179;6968,CAGL0I10246g,99.78,85,0.0,1867.0
root_000179;6968,CAGL0I10246g,99.78,85,0.0,1867.0
root_000179;6968,CAGL0I10246g,99.78,85,0.0,1867.0
root_000179;6968,CAGL0I10246g,99.78,85,0.0,1867.0
root_000179;6968,CAGL0I10246g,99.78,85,0.0,1867.0
root_000179;6968,CAGL0I10246g,99.78,85,0.0,1867.0
root_000179;6968,CAGL0I10246g,99.78,85,0.0,1867.0
root_000179;6968,CAGL0I10246g,99.78,85,0.0,1867.0
root_000179;6968,CAGL0I10246g,99.78,85,0.0,1867.0
root_000179;6968,CAGL0I10246g,99.78,85,0.0,1867.0
root_000179;6968,CAGL0I10246g,99.78,85,0.0,1867.0
root_000179;6968,CAGL0I10246g,99.78,85,0.0,1867.0
root_000179;6968,CAGL0I10246g,99.78,85,0.0,1867.0
root_000179;6968,CAGL0I10246g,99.78,85,0.0,1867.0
root_000179;6968,CAGL0I10246g,99.78,85,0.0,1867.0
root_000179;6968,CAGL0I10246g,98.804,85,0.0,1858.0
root_000179;6968,CAGL0I10246g,99.669,85,0.0,1853.0
root_000179;6968,CAGL0I10246g,100.0,85,0.0,1830.0
root_000179;6968,CAGL0I10246g,97.586,85,0.0,1739.0
root_000179;6968,CAGL0I10246g,95.062,85,0.0,1724.0
root_000179;6968,CAGL0I10246g,92.222,85,0.0,1541.0
root_000179;6968,CAGL0I10246g,98.248,85,0.0,1470.0
root_000179;6968,CAGL0I10246g,97.978,85,0.0,1466.0
root_000179;6968,CAGL0I10246g,89.736,85,0.0,1329.0
root_000179;6968,CAGL0I10246g,99.822,85,0.0,1158.0
root_000179;6968,CAGL0I10246g,99.822,85,0.0,1158.0
root_000179;6968,CAGL0I10246g,99.822,85,0.0,1158.0
root_000179;6968,CAGL0I10246g,99.822,85,0.0,1158.0
root_000179;6968,CAGL0I10246g,99.822,85,0.0,1158.0
root_000179;6968,CAGL0I10246g,99.822,85,0.0,1158.0
root_000179;6968,CAGL0I10246g,99.822,85,0.0,1158.0
root_000179;6968,CAGL0I10246g,99.822,85,0.0,1158.0
root_000179;6968,CAGL0I10246g,99.822,85,0.0,1158.0
root_000179;6968,CAGL0I10246g,99.822,85,0.0,1158.0
root_000179;6968,CAGL0I10246g,99.822,85,0.0,1158.0
root_000179;6968,CAGL0I10246g,99.822,85,0.0,1158.0
root_000179;6968,CAGL0I10246g,99.822,85,0.0,1158.0
root_000179;6968,CAGL0I10246g,99.822,85,0.0,1158.0
root_000179;6968,CAGL0I10246g,99.822,85,0.0,1158.0
root_000179;6968,CAGL0I10246g,99.822,85,0.0,1158.0
root_000179;6968,CAGL0I10246g,99.822,85,0.0,1158.0
