gene_id,synergy_id,synergy_length,gffread_length,synergy_stops,gffread_stops,identity,length_ratio,has_premature_stops,identity_group
CAGL0M12727g,ZYU_005488,342,277,33,0,4.693140794223827,1.2346570397111913,True,Low (<50%)
CAGL0D04834g,ZYU_000909,50,49,1,0,100.0,1.0204081632653061,False,High (>90%)
CAGL0L11154g,ZYU_004778,2001,1728,21,0,6.365740740740741,1.1579861111111112,True,Low (<50%)
CAGL0H02167g,ZYU_002242,527,336,55,0,4.761904761904762,1.568452380952381,True,Low (<50%)
CAGL0E02453g,ZYU_001100,270,120,27,0,2.5,2.25,True,Low (<50%)
CAGL0F02541g,ZYU_001391,852,630,77,0,5.873015873015873,1.3523809523809525,True,Low (<50%)
CAGL0K03707g,ZYU_003833,991,910,65,0,5.054945054945055,1.089010989010989,True,Low (<50%)
CAGL0I09746g,ZYU_003077,496,463,4,0,6.911447084233262,1.0712742980561556,True,Low (<50%)
CAGL0K01243g,ZYU_003719,218,154,16,0,7.142857142857142,1.4155844155844155,True,Low (<50%)
CAGL0M08954g,ZYU_005315,954,850,86,0,5.647058823529412,1.1223529411764706,True,Low (<50%)
CAGL0J11022g,ZYU_003624,276,219,37,0,2.73972602739726,1.2602739726027397,True,Low (<50%)
CAGL0H04125g,ZYU_002335,701,525,8,0,5.714285714285714,1.3352380952380953,True,Low (<50%)
CAGL0L03846g,ZYU_004436,652,544,14,0,5.330882352941177,1.1985294117647058,True,Low (<50%)
CAGL0C03025g,ZYU_000570,564,482,46,0,6.224066390041494,1.170124481327801,True,Low (<50%)
CAGL0J10472g,ZYU_003600,1441,1345,151,0,5.353159851301116,1.0713754646840148,True,Low (<50%)
CAGL0I03212g,ZYU_002770,1656,963,162,0,3.9460020768431985,1.719626168224299,True,Low (<50%)
CAGL0J03916g,ZYU_003302,521,433,53,0,7.852193995381063,1.2032332563510393,True,Low (<50%)
CAGL0J07810g,ZYU_003479,687,604,64,0,5.4635761589403975,1.1374172185430464,True,Low (<50%)
CAGL0H06413g,ZYU_002441,309,212,6,0,3.7735849056603774,1.4575471698113207,True,Low (<50%)
CAGL0M04961g,ZYU_005121,457,402,35,0,4.72636815920398,1.13681592039801,True,Low (<50%)
CAGL0I02486g,ZYU_002740,925,437,59,0,3.203661327231121,2.116704805491991,True,Low (<50%)
CAGL0L00715g,ZYU_004290,1201,1144,102,0,4.807692307692308,1.0498251748251748,True,Low (<50%)
CAGL0G06710g,ZYU_001992,84,83,1,0,98.79518072289156,1.0120481927710843,False,High (>90%)
CAGL0G03487g,ZYU_001847,831,704,75,0,6.25,1.1803977272727273,True,Low (<50%)
CAGL0K00110g,ZYU_003669,1440,832,32,0,8.29326923076923,1.7307692307692308,True,Low (<50%)
CAGL0I04488g,ZYU_002830,1026,917,135,0,4.79825517993457,1.11886586695747,True,Low (<50%)
CAGL0A03608g,ZYU_000158,349,214,24,0,5.607476635514018,1.6308411214953271,True,Low (<50%)
CAGL0M07590g,ZYU_005247,717,456,55,0,5.921052631578947,1.5723684210526316,True,Low (<50%)
CAGL0G01474g,ZYU_001754,465,349,36,0,7.4498567335243555,1.332378223495702,True,Low (<50%)
CAGL0K05390g,ZYU_003913,667,89,30,0,12.359550561797752,7.49438202247191,True,Low (<50%)
CAGL0J04664g,ZYU_003336,188,117,9,0,6.837606837606838,1.606837606837607,True,Low (<50%)
CAGL0J04422g,ZYU_003325,1161,1026,11,0,6.725146198830409,1.131578947368421,True,Low (<50%)
CAGL0K09548g,ZYU_004106,749,496,67,0,7.862903225806452,1.5100806451612903,True,Low (<50%)
CAGL0K04367g,ZYU_003864,1013,582,82,0,5.841924398625429,1.7405498281786942,True,Low (<50%)
CAGL0J07216g,ZYU_003452,723,390,46,0,4.871794871794872,1.853846153846154,True,Low (<50%)
CAGL0H08239g,ZYU_002527,500,434,43,0,5.529953917050691,1.152073732718894,True,Low (<50%)
CAGL0C04026g,ZYU_000617,724,636,62,0,3.7735849056603774,1.1383647798742138,True,Low (<50%)
CAGL0K06721g,ZYU_003974,464,438,66,0,4.794520547945205,1.0593607305936072,True,Low (<50%)
CAGL0L07436g,ZYU_004603,705,515,41,0,6.796116504854369,1.3689320388349515,True,Low (<50%)
CAGL0M06083g,ZYU_005175,772,694,5,0,7.060518731988473,1.1123919308357348,True,Low (<50%)
CAGL0M12100g,ZYU_005460,686,324,60,0,5.864197530864197,2.117283950617284,True,Low (<50%)
CAGL0I05896g,ZYU_002897,1396,778,45,0,5.784061696658098,1.794344473007712,True,Low (<50%)
CAGL0H09306g,ZYU_002576,138,95,2,0,4.2105263157894735,1.4526315789473685,True,Low (<50%)
CAGL0G07579g,ZYU_002033,1403,1277,130,0,5.246671887235708,1.0986687548942835,True,Low (<50%)
CAGL0M13695g,ZYU_005533,337,315,3,0,6.349206349206349,1.0698412698412698,True,Low (<50%)
CAGL0H05005g,ZYU_002377,559,452,42,0,5.0884955752212395,1.2367256637168142,True,Low (<50%)
CAGL0G06908g,ZYU_002001,608,538,6,0,6.877323420074349,1.1301115241635689,True,Low (<50%)
CAGL0D03586g,ZYU_000852,181,116,12,0,4.310344827586207,1.5603448275862069,True,Low (<50%)
CAGL0G03553g,ZYU_001850,483,210,15,0,5.238095238095238,2.3,True,Low (<50%)
CAGL0J03322g,ZYU_003275,836,646,8,0,5.41795665634675,1.2941176470588236,True,Low (<50%)
CAGL0H03157g,ZYU_002288,184,139,7,0,7.194244604316546,1.3237410071942446,True,Low (<50%)
CAGL0F05643g,ZYU_001528,659,457,57,0,7.658643326039387,1.4420131291028446,True,Low (<50%)
CAGL0G07975g,ZYU_002052,687,651,96,0,5.529953917050691,1.055299539170507,True,Low (<50%)
CAGL0G04499g,ZYU_001890,484,350,10,0,6.2857142857142865,1.3828571428571428,True,Low (<50%)
CAGL0B00308g,ZYU_000221,1447,430,65,0,4.883720930232558,3.3651162790697673,True,Low (<50%)
CAGL0H05555g,ZYU_002402,465,442,3,0,7.013574660633484,1.0520361990950227,True,Low (<50%)
CAGL0I01892g,ZYU_002713,820,548,57,0,4.927007299270073,1.4963503649635037,True,Low (<50%)
CAGL0J08866g,ZYU_003527,227,226,1,0,98.23008849557522,1.0044247787610618,False,High (>90%)
CAGL0F06853g,ZYU_001583,863,388,84,0,6.443298969072164,2.2242268041237114,True,Low (<50%)
CAGL0M09581g,ZYU_005342,830,543,13,0,7.550644567219153,1.5285451197053408,True,Low (<50%)
CAGL0I00550g,ZYU_002653,472,78,28,0,6.41025641025641,6.051282051282051,True,Low (<50%)
CAGL0M10593g,ZYU_005390,400,225,9,0,6.222222222222222,1.7777777777777777,True,Low (<50%)
CAGL0I00374g,ZYU_002645,910,185,50,0,7.027027027027027,4.918918918918919,True,Low (<50%)
CAGL0G08756g,ZYU_002086,1623,1354,102,0,5.612998522895126,1.1986706056129985,True,Low (<50%)
CAGL0D04444g,ZYU_000892,607,574,92,0,6.097560975609756,1.0574912891986064,True,Low (<50%)
CAGL0J01441g,ZYU_003192,499,372,22,0,5.913978494623656,1.3413978494623655,True,Low (<50%)
CAGL0F03773g,ZYU_001446,885,749,77,0,7.610146862483311,1.1815754339118825,True,Low (<50%)
CAGL0A03718g,ZYU_000163,1871,1652,111,0,5.932203389830509,1.1325665859564165,True,Low (<50%)
