gene_id,transcript_id,exon_length,cds_length,utr_size,utr_percentage,match,source
CAGL0A00099g,CAGL0A00099g-T,15741,15741,0,0.0,True,CGD
CAGL0A00165g,CAGL0A00165g-T,1105,840,265,23.981900452488688,False,CGD
CAGL0A00187g,CAGL0A00187g-T,2738,2271,467,17.05624543462381,False,CGD
CAGL0A00209g,CAGL0A00209g-T,2437,2181,256,10.504718916700861,False,CGD
CAGL0A00231g,CAGL0A00231g-T,2693,2382,311,11.548458967694021,False,CGD
CAGL0A00253g,CAGL0A00253g-T,1094,672,422,38.57404021937843,False,CGD
CAGL0A00275g,CAGL0A00275g-T,1858,801,1057,56.889128094725514,False,CGD
CAGL0A00297g,CAGL0A00297g-T,1582,597,985,62.2629582806574,False,CGD
CAGL0A00319g,CAGL0A00319g-T,1687,1530,157,9.306461173681091,False,CGD
CAGL0A00341g,CAGL0A00341g-T,1132,570,562,49.64664310954063,False,CGD
CAGL0A00363g,CAGL0A00363g-T,2450,2355,95,3.877551020408163,False,CGD
CAGL0A00385g,CAGL0A00385g-T,3949,3210,739,18.713598379336542,False,CGD
CAGL0A00407g,CAGL0A00407g-T,1978,765,1213,61.32457027300303,False,CGD
CAGL0A00429g,CAGL0A00429g-T,5495,1395,4100,74.61328480436761,False,CGD
CAGL0A00451g,CAGL0A00451g-T,6884,3324,3560,51.714119697850094,False,CGD
CAGL0A00473g,CAGL0A00473g-T,2603,2361,242,9.296965040338073,False,CGD
CAGL0A00495g,CAGL0A00495g-T,4070,2709,1361,33.43980343980344,False,CGD
CAGL0A00517g,CAGL0A00517g-T,3931,3369,562,14.296616636988043,False,CGD
CAGL0A00539g,CAGL0A00539g-T,1120,810,310,27.67857142857143,False,CGD
CAGL0A00561g,CAGL0A00561g-T,1440,1239,201,13.958333333333334,False,CGD
CAGL0A00583g,CAGL0A00583g-T,2352,1941,411,17.47448979591837,False,CGD
CAGL0A00605g,CAGL0A00605g-T,3249,1923,1326,40.81255771006463,False,CGD
CAGL0A00627g,CAGL0A00627g-T,986,654,332,33.67139959432049,False,CGD
CAGL0A00649g,CAGL0A00649g-T,384,384,0,0.0,True,CGD
CAGL0A00715g,CAGL0A00715g-T,291,291,0,0.0,True,CGD
CAGL0A00737g,CAGL0A00737g-T,1824,1650,174,9.539473684210527,False,CGD
CAGL0A00781g,CAGL0A00781g-T,4004,3789,215,5.36963036963037,False,CGD
CAGL0A00803g,CAGL0A00803g-T,4801,3489,1312,27.327640074984377,False,CGD
CAGL0A00825g,CAGL0A00825g-T,1731,1095,636,36.741767764298096,False,CGD
CAGL0A00847g,CAGL0A00847g-T,1505,990,515,34.21926910299003,False,CGD
CAGL0A00869g,CAGL0A00869g-T,2756,2556,200,7.256894049346879,False,CGD
CAGL0A00891g,CAGL0A00891g-T,2561,2259,302,11.792268645060524,False,CGD
CAGL0A00913g,CAGL0A00913g-T,5178,4281,897,17.323290845886444,False,CGD
CAGL0A00935g,CAGL0A00935g-T,1623,681,942,58.04066543438078,False,CGD
CAGL0A00957g,CAGL0A00957g-T,1811,1212,599,33.075648812810606,False,CGD
CAGL0A00979g,CAGL0A00979g-T,1723,237,1486,86.24492164828787,False,CGD
CAGL0A01001g,CAGL0A01001g-T,1106,660,446,40.3254972875226,False,CGD
CAGL0A01023g,CAGL0A01023g-T,1563,1236,327,20.92130518234165,False,CGD
CAGL0A01045g,CAGL0A01045g-T,2304,1452,852,36.97916666666667,False,CGD
CAGL0A01067g,CAGL0A01067g-T,2054,1926,128,6.2317429406037,False,CGD
CAGL0A01089g,CAGL0A01089g-T,2243,1608,635,28.31029870708872,False,CGD
CAGL0A01111g,CAGL0A01111g-T,986,210,776,78.70182555780933,False,CGD
CAGL0A01133g,CAGL0A01133g-T,2753,2406,347,12.604431529240829,False,CGD
CAGL0A01155g,CAGL0A01155g-T,2167,1830,337,15.551453622519611,False,CGD
CAGL0A01177g,CAGL0A01177g-T,3153,2553,600,19.029495718363464,False,CGD
CAGL0A01193g,CAGL0A01193g-T,312,312,0,0.0,True,CGD
CAGL0A01199g,CAGL0A01199g-T,2464,1842,622,25.243506493506494,False,CGD
CAGL0A01221g,CAGL0A01221g-T,4502,882,3620,80.40870724122613,False,CGD
CAGL0A01243g,CAGL0A01243g-T,5146,1596,3550,68.98561989895065,False,CGD
CAGL0A01284g,CAGL0A01284g-T,4333,4206,127,2.930994691899377,False,CGD
CAGL0A01325g,CAGL0A01325g-T,3523,1434,2089,59.29605449900652,False,CGD
CAGL0A01366g,CAGL0A01366g-T,4519,4389,130,2.8767426421774727,False,CGD
CAGL0A01408g,CAGL0A01408g-T,1903,1446,457,24.014713610089334,False,CGD
CAGL0A01430g,CAGL0A01430g-T,2356,2124,232,9.847198641765704,False,CGD
CAGL0A01452g,CAGL0A01452g-T,3261,2445,816,25.0229990800368,False,CGD
CAGL0A01474g,CAGL0A01474g-T,1779,1779,0,0.0,True,CGD
CAGL0A01540g,CAGL0A01540g-T,2000,318,1682,84.1,False,CGD
CAGL0A01562g,CAGL0A01562g-T,1830,468,1362,74.42622950819671,False,CGD
CAGL0A01584g,CAGL0A01584g-T,258,258,0,0.0,True,CGD
CAGL0A01606g,CAGL0A01606g-T,738,648,90,12.195121951219512,False,CGD
CAGL0A01628g,CAGL0A01628g-T,1569,1275,294,18.738049713193117,False,CGD
CAGL0A01650g,CAGL0A01650g-T,1329,357,972,73.13769751693002,False,CGD
CAGL0A01672g,CAGL0A01672g-T,2140,2085,55,2.570093457943925,False,CGD
CAGL0A01694g,CAGL0A01694g-T,2177,1926,251,11.529627928341753,False,CGD
CAGL0A01716g,CAGL0A01716g-T,913,636,277,30.339539978094194,False,CGD
CAGL0A01738g,CAGL0A01738g-T,2519,1410,1109,44.025406907502976,False,CGD
CAGL0A01760g,CAGL0A01760g-T,1962,1818,144,7.339449541284404,False,CGD
CAGL0A01782g,CAGL0A01782g-T,2039,1707,332,16.282491417361452,False,CGD
CAGL0A01804g,CAGL0A01804g-T,1750,1692,58,3.314285714285714,False,CGD
CAGL0A01826g,CAGL0A01826g-T,2038,1767,271,13.297350343473994,False,CGD
CAGL0A01848g,CAGL0A01848g-T,3460,2805,655,18.930635838150287,False,CGD
CAGL0A01870g,CAGL0A01870g-T,3628,2385,1243,34.26130099228225,False,CGD
CAGL0A01892g,CAGL0A01892g-T,267,267,0,0.0,True,CGD
CAGL0A01914g,CAGL0A01914g-T,11537,11232,305,2.6436681979717433,False,CGD
CAGL0A01958g,CAGL0A01958g-T,1726,1221,505,29.25840092699884,False,CGD
CAGL0A01980g,CAGL0A01980g-T,2110,2028,82,3.886255924170616,False,CGD
CAGL0A02002g,CAGL0A02002g-T,771,381,390,50.583657587548636,False,CGD
CAGL0A02024g,CAGL0A02024g-T,2326,2073,253,10.877042132416165,False,CGD
CAGL0A02046g,CAGL0A02046g-T,3286,2331,955,29.0626902008521,False,CGD
CAGL0A02090g,CAGL0A02090g-T,2887,2022,865,29.961898164184277,False,CGD
CAGL0A02112g,CAGL0A02112g-T,2339,1647,692,29.585292860196667,False,CGD
CAGL0A02134g,CAGL0A02134g-T,1555,1248,307,19.742765273311896,False,CGD
CAGL0A02145g,CAGL0A02145g-T,1276,1182,94,7.366771159874608,False,CGD
CAGL0A02189g,CAGL0A02189g-T,1890,1818,72,3.8095238095238098,False,CGD
CAGL0A02211g,CAGL0A02211g-T,2055,1659,396,19.27007299270073,False,CGD
CAGL0A02233g,CAGL0A02233g-T,1882,1650,232,12.327311370882041,False,CGD
CAGL0A02255g,CAGL0A02255g-T,1189,819,370,31.118587047939446,False,CGD
CAGL0A02277g,CAGL0A02277g-T,819,819,0,0.0,True,CGD
CAGL0A02299g,CAGL0A02299g-T,1767,840,927,52.46179966044142,False,CGD
CAGL0A02321g,CAGL0A02321g-T,4069,1671,2398,58.933398869501104,False,CGD
CAGL0A02343g,CAGL0A02343g-T,267,267,0,0.0,True,CGD
CAGL0A02365g,CAGL0A02365g-T,2854,1332,1522,53.328661527680445,False,CGD
CAGL0A02387g,CAGL0A02387g-T,3251,960,2291,70.47062442325438,False,CGD
CAGL0A02409g,CAGL0A02409g-T,1768,1338,430,24.32126696832579,False,CGD
CAGL0A02431g,CAGL0A02431g-T,2024,1764,260,12.845849802371543,False,CGD
CAGL0A02475g,CAGL0A02475g-T,1878,1722,156,8.30670926517572,False,CGD
CAGL0A02486g,CAGL0A02486g-T,2833,2601,232,8.189198729262266,False,CGD
CAGL0A02508g,CAGL0A02508g-T,1193,951,242,20.284995808885164,False,CGD
CAGL0A02530g,CAGL0A02530g-T,1122,960,162,14.43850267379679,False,CGD
CAGL0A02552g,CAGL0A02552g-T,4846,1191,3655,75.42302930251753,False,CGD
CAGL0A02574g,CAGL0A02574g-T,1140,1140,0,0.0,True,CGD
CAGL0A02596g,CAGL0A02596g-T,2743,2619,124,4.520597885526795,False,CGD
CAGL0A02618g,CAGL0A02618g-T,568,303,265,46.654929577464785,False,CGD
CAGL0A02629g,CAGL0A02629g-T,2367,1767,600,25.34854245880862,False,CGD
CAGL0A02651g,CAGL0A02651g-T,3424,3150,274,8.00233644859813,False,CGD
CAGL0A02673g,CAGL0A02673g-T,990,831,159,16.060606060606062,False,CGD
CAGL0A02695g,CAGL0A02695g-T,2139,2076,63,2.9453015427769986,False,CGD
CAGL0A02706g,CAGL0A02706g-T,1110,1110,0,0.0,True,CGD
CAGL0A02728g,CAGL0A02728g-T,273,273,0,0.0,True,CGD
CAGL0A02750g,CAGL0A02750g-T,1492,1290,202,13.53887399463807,False,CGD
CAGL0A02772g,CAGL0A02772g-T,1471,1326,145,9.857239972807614,False,CGD
CAGL0A02794g,CAGL0A02794g-T,848,651,197,23.2311320754717,False,CGD
CAGL0A02816g,CAGL0A02816g-T,1063,933,130,12.229539040451552,False,CGD
CAGL0A02838g,CAGL0A02838g-T,2605,2487,118,4.529750479846449,False,CGD
CAGL0A02860g,CAGL0A02860g-T,2389,1209,1180,49.393051485977395,False,CGD
CAGL0A02882g,CAGL0A02882g-T,696,315,381,54.741379310344826,False,CGD
CAGL0A02904g,CAGL0A02904g-T,1506,1506,0,0.0,True,CGD
CAGL0A02926g,CAGL0A02926g-T,2125,987,1138,53.55294117647059,False,CGD
CAGL0A02948g,CAGL0A02948g-T,1830,573,1257,68.68852459016394,False,CGD
CAGL0A02970g,CAGL0A02970g-T,1326,930,396,29.86425339366516,False,CGD
CAGL0A02981g,CAGL0A02981g-T,519,225,294,56.64739884393064,False,CGD
CAGL0A02992g,CAGL0A02992g-T,1932,1374,558,28.88198757763975,False,CGD
CAGL0A03014g,CAGL0A03014g-T,1506,1506,0,0.0,True,CGD
CAGL0A03036g,CAGL0A03036g-T,306,306,0,0.0,True,CGD
CAGL0A03051g,CAGL0A03051g-T,944,348,596,63.13559322033898,False,CGD
CAGL0A03058g,CAGL0A03058g-T,2857,2379,478,16.73083654182709,False,CGD
CAGL0A03080g,CAGL0A03080g-T,616,240,376,61.038961038961034,False,CGD
CAGL0A03102g,CAGL0A03102g-T,2941,1950,991,33.69602176130568,False,CGD
CAGL0A03117g,CAGL0A03117g-T,1123,699,424,37.7560106856634,False,CGD
CAGL0A03146g,CAGL0A03146g-T,1225,348,877,71.59183673469389,False,CGD
CAGL0A03168g,CAGL0A03168g-T,590,330,260,44.06779661016949,False,CGD
